UT C-Scan Data 
 Operator:   
 Date:  01/01/07 01:12:49 
 Job Name:  UTwin 
 Part Name:  Part 
 Comment:   
 Material Name:  Water 
 Longitudinal Velocity(mm/us):  0.059 
 A/D Delay(us):  13.000 
 A/D Width(us):  14.000 
 A/D Gain(dB):   14.0 
 A/D Offset(mV): 0.994 
 A/D Rate(MHz):  50.0 
 A/D Average:    3 
 A/D Trig Source: 0 
 A/D Filter Mode: Filter Off 
 A/D LP Filter(MHz):  15.0 
 A/D HP Filter(MHz):  2.0 
 A/D DAC: DAC ON 
 A/D AGC: AGC OFF 
 P/R Voltage(v):  150.0 
 P/R Damp(ohms):  -1.0 
 P/R Energy(pf):  -1.0 
 P/R frequency(MHz):  25.0 
 P/R Gain(dB):  33.0 
 P/R Filter Mode:  Off 
 P/R LP Filter(MHz):  -1.0 
 P/R HP Filter(MHz):  -1.0 
 Wave mode:  Longitudinal wave 
 Angle:  0.00 
 Center Frequency: 5.000 
 diameter: 12.700 
 Probe:   
_____________Réglages C-Scan __________________________ 
Unité de distance: mm 
Axe de balayage: 0 
Longueur de balayage: 12017.400 
Résolution de balayage: 0.150 
Axe d'index: 1 
Longueur d'index: 75.000 
Résolution d'index: 5.000 
____________Réglages des paramètres en sortie___________________ 
Données voie: 1 
Données porte: 2 
Paramètre en sortie:AMP(%)  
 ______Données en sortie (col: axe balay., ligne: axe incrém.)______,,,,,,,
X/Y,0,5,10,15,20,25,30,35
-11970.2998,84.9536,100,100,96.8246,66.5853,65.5594,50.2687,87.8847
-11970.1504,81.5828,100,100,96.6781,68.637,65.8036,49.8779,84.7093
-11970,78.7494,100,100,92.8188,68.3439,68.2951,48.4123,84.1231
-11969.8496,76.5999,100,100,94.2843,74.0107,71.6659,47.8749,82.2179
-11969.7002,72.2032,100,100,86.6634,70.1026,71.4704,50.0733,89.4968
-11969.5498,69.8095,100,100,80.6546,74.4016,66.6341,51.0503,91.4998
-11969.4004,70.3957,100,100,82.7064,82.7552,67.7088,53.0044,96.1407
-11969.25,69.9072,100,100,83.488,84.4162,68.1974,57.9873,96.1895
-11969.0996,71.7147,100,100,86.3214,98.1436,66.4387,60.0879,95.701
-11968.9502,70.3468,100,100,84.5628,99.3161,69.5652,62.384,98.8276
-11968.7998,68.8324,100,100,86.3214,99.5115,73.6199,64.1426,94.8217
-11968.6504,75.4275,100,100,88.0313,100,74.6947,66.2921,100
-11968.5,74.7435,100,100,92.6722,100,74.4993,65.5594,100
-11968.3496,79.6776,100,100,100,100,74.4993,66.4875,99.1207
-11968.2002,82.4133,100,100,100,100,78.1632,71.3239,100
-11968.0498,85.6864,100,100,100,100,76.3556,73.3268,97.6063
-11967.9004,91.0112,100,100,100,100,79.7264,74.3527,100
-11967.75,90.1319,100,100,100,100,85.0024,77.6258,100
-11967.5996,93.8447,100,100,100,100,89.1549,80.4104,100
-11967.4502,99.5115,100,100,100,100,98.2413,88.7152,100
-11967.2998,100,100,100,100,100,100,93.2584,100
-11967.1504,100,100,100,100,100,100,97.2154,100
-11967,100,93.5515,100,100,97.1177,100,99.8534,100
-11966.8496,100,89.5457,100,100,98.2902,100,100,100
-11966.7002,100,79.8241,100,100,94.724,100,100,100
-11966.5498,100,74.255,100,100,90.767,100,100,100
-11966.4004,100,68.3928,100,100,90.6204,100,100,100
-11966.25,100,70.3468,100,100,87.787,100,100,100
-11966.0996,100,69.7606,100,100,89.7899,100,100,100
-11965.9502,100,70.64,100,100,98.6321,100,100,100
-11965.7998,100,70.1514,100,100,99.3161,100,100,100
-11965.6504,100,74.1573,100,100,100,100,100,100
-11965.5,100,74.2062,100,100,100,100,100,100
-11965.3496,100,77.0884,99.658,100,100,100,100,100
-11965.2002,100,81.534,92.0371,100,100,100,100,100
